,Q.no.,topics,questions,answers
76,77,NLP,What is Back Propagation and Explain itï¿½s Working.,"Backpropagation is a training algorithm used for multilayer neural network. In this method, we move the error from an end of the network to all weights inside the network and thus allowing efficient computation of the gradient. It has the following steps: 1.Forward Propagation of Training Data. 2.Derivatives are computed using output and target. 3.Back Propagate for computing derivative of error wrt output activation. 4.Using previously calculated derivatives for output. 5.Update the Weights."
77,78,NLP,What are the variants of Back Propagation?,"Stochastic Gradient Descent: We use only a single training example for calculation of gradient and update parameters. Batch Gradient Descent: We calculate the gradient for the whole dataset and perform the update at each iteration. Mini-batch Gradient Descent: Itï¿½s one of the most popular optimization algorithms. Itï¿½s a variant of Stochastic Gradient Descent and here instead of single training example, mini-batch of samples is used."
78,79,Deep Learning,What are the different Deep Learning Frameworks?,"Pytorch, TensorFlow, Microsoft Cognitive Toolkit, Keras, Caffe, Chainer."
79,80,NLP,What is the role of the Activation Function?,The Activation function is used to introduce non-linearity into the neural network helping it to learn more complex function. Without which the neural network would be only able to learn linear function which is a linear combination of its input data. An activation function is a function in an artificial neuron that delivers an output based on inputs.
80,81,Machine Learning, Name a few Machine Learning libraries ,"1.Scientific Computation-Numpy, 2.Tabular Data- Pandas,3. Data Modelling & Preprocessing- Scikit Learn, 4.Time-Series Analysis-Statsmodels, 5.Text processing- Regular Expressions,6. NLTK, Deep Learning-Deep Learning"
81,82,Machine Learning, What is an Auto-Encoder?ï¿½,"Auto-encoders are simple learning networks that aim to transform inputs into outputs with the minimum possible error. This means that we want the output to be as close to input as possible. We add a couple of layers between the input and the output, and the sizes of these layers are smaller than the input layer. The auto-encoder receives unlabelled input which is then encoded to reconstruct the input."
82,83,Deep Learning,What is a Boltzmann Machine?ï¿½,Boltzmann machines have a simple learning algorithm that allows them to discover interesting features that represent complex regularities in the training data. The Boltzmann machine is basically used to optimise the weights and the quantity for the given problem. The learning algorithm is very slow in networks with many layers of feature detectors. ï¿½Restricted Boltzmann Machinesï¿½ algorithm has a single layer of feature detectors which makes it faster than the rest.
83,84,Deep Learning,What Is Dropout and Batch Normalization?,Dropout is a technique of dropping out hidden and visible units of a network randomly to prevent overfitting of data (typically dropping 20 per cent of the nodes). It doubles the number of iterations needed to converge the network. Batch normalization is the technique to improve the performance and stability of neural networks by normalizing the inputs in every layer so that they have mean output activation of zero and standard deviation of one.
84,85,Deep Learning,Why Is Tensorflow the Most Preferred Library in Deep Learning?,"Tensorflow provides both C++ and Python APIs, making it easier to work on and has a faster compilation time compared to other Deep Learning libraries like Keras and Torch. Tensorflow supports both CPU and GPU computing devices."
85,86,Deep Learning,What is the Computational Graph?,"Everything in a tensorflow is based on creating a computational graph. It has a network of nodes where each node operates, Nodes represent mathematical operations, and edges represent tensors. Since data flows in the form of a graph, it is also called a ï¿½DataFlow Graph.ï¿½"
86,87,NLP,What Do You Mean by Tensor in Tensorflow?,A tensor is a mathematical object represented as arrays of higher dimensions. These arrays of data with different dimensions and ranks fed as input to the neural network are called ï¿½Tensors.ï¿½
87,88,machine learning,What is pruning in Decision Tree? ,"Pruningï¿½is a technique in machine learning and search algorithms that reduces the size ofï¿½decision treesï¿½by removing sections of theï¿½treeï¿½that provide little power to classify instances. So, when we remove sub-nodes of a decision node, this process is calledï¿½pruningï¿½or opposite process of splitting."
88,89,machine learning, What is logistic regression? State an example when you have used logistic regression recently.,Logistic Regression often referred to as the logit model is a technique to predict the binary outcome from a linear combination of predictor variables.ï¿½
89,90,machine learning,What is Linear Regression?,Linear regressionï¿½is a statistical technique where the score of a variable Y is predicted from the score of a second variable X. X is referred to as the predictor variable and Y as the criterion variable.
90,91,machine learning,What Are the Drawbacks of the Linear Model?,Some drawbacks of the linear model are:  The assumption of linearity of the errors.  It canï¿½t be used for count outcomes or binary outcomes  There are overfitting problems that it canï¿½t solve 
91,92,machine learning, What is the difference between Regression and classification ML techniques?,"Both Regression and classification machine learning techniques come underï¿½Supervised machine learning algorithms. In Supervised machine learning algorithm, we have to train the model using labelled data set, While training we have to explicitly provide the correct labels and algorithm tries to learn the pattern from input to output. If our labels are discrete values then it will a classification problem, e.g A,B etc. but if our labels are continuous values then it will be a regression problem, e.g 1.23, 1.333 etc."
92,93,nlp,What are Recommender Systems?,"Recommender Systemsï¿½are a subclass of information filtering systems that are meant to predict the preferences or ratings that a user would give to a product.ï¿½Recommender systems are widely used in movies, news, research articles, products, social tags, music, etc."
93,94,machine learning,What is Collaborative filtering?,"The process of filtering used by most of the recommender systems to find patterns or information by collaborating viewpoints, various data sources and multiple agents."
94,95,Data Analytics,How can outlier values be treated?,"Outlier values can be identified by using univariate or any other graphical analysis method.ï¿½If the number of outlier values is few then they can be assessed individually but for a large number of outliers, the values can be substituted with either the 99th or the 1st percentile values.  All extreme values are not outlier values.ï¿½The most common ways to treat outlier values  To change the value and bring it within a range.  To just remove the value. "
95,96,Data Analytics,What are the various steps involved in an analytics project?," Explore the data and become familiar with it.  Prepare the data for modelling by detecting outliers, treating missing values, transforming variables, etc.  After data preparation, start running the model, analyze the result and tweak the approach. This is an iterative step until the best possible outcome is achieved.  Validate the model using a new data set.  Start implementing the model and track the result to analyze the performance of the model over the period of time.  "
96,97,Data Analytics,"During analysis, how do you treat missing values?","The extent of the missing values is identified after identifying the variables with missing values.ï¿½If any patterns are identified the analyst has to concentrate on them as it could lead to interesting and meaningful business insights.  If there are no patterns identified, then the missing values can be substituted with mean or median values (imputation) or they can simply be ignored.ï¿½Assigning a default value which can be mean, minimum or maximum value. Getting into the data is important.  If it is a categorical variable, the default value is assigned. The missing value is assigned a default value.ï¿½If you have a distribution of data coming, for normal distribution give the mean value.  If 80% of the values for a variable are missing then you can answer that you would be dropping the variable instead of treating the missing values. "
97,98,machine learning,How will you define the number of clusters in a clustering algorithm?,"Though the Clustering Algorithm is not specified, this question is mostly in reference to K-Means clustering where ï¿½Kï¿½ defines the number of clusters.ï¿½The objective of clustering is to group similar entities in a way that the entities within a group are similar to each other but the groups are different from each other."
98,99,basic data science,How does Confusion Matrix help in evaluating model performance?,"We can find different accuracy measures using a confusion matrix. These parameters are Accuracy, Recall, Precision, F1 Score, and Specificity."
99,100,basic data science,What do you understand by the term Normal Distribution?, It is a type of probability distribution that is symmetric about the mean. it shows that the data is closer to the mean and the frequency of occurrences in data are far from the mean.
100,101,Data Analytics,Mention what is the responsibility of a Data analyst?,"Provide support to all data analysis and coordinate with customers and staffs, Resolve business associated issues for clients and performing audit on data, Analyze results and interpret data using statistical, techniques and provide ongoing reports, Prioritize business needs and work closely with management and information needs, Identify new process or areas for improvement opportunities
Analyze, identify and interpret trends or patterns in complex data sets, Acquire data from primary or secondary data sources and maintain databases/data systems, Filter and “clean” data, and review computer reports, Determine performance indicators to locate and correct code problems, Securing database by developing access system by determining user level of access"
101,102,Data Analytics,What is required to become a data analyst?,"Robust knowledge on reporting packages (Business Objects), programming language (XML, Javascript, or ETL frameworks), databases (SQL, SQLite, etc.)
Strong skills with the ability to analyze, organize, collect and disseminate big data with accuracy, Technical knowledge in database design, data models, data mining and segmentation techniques, Strong knowledge on statistical packages for analyzing large datasets (SAS, Excel, SPSS, etc.)"
102,103,Data Analytics,Mention what is data cleansing?,"Data cleaning also referred as data cleansing, deals with identifying and removing errors and inconsistencies from data in order to enhance the quality of data."
103,104,Data Analytics,List out some of the best practices for data cleaning?,"Sort data by different attributes, For large datasets cleanse it stepwise and improve the data with each step until you achieve a good data qualityFor large datasets, break them into small data. Working with less data will increase your iteration  speed, To handle common cleansing task create a set of utility functions/tools/scripts. It might include, remapping values based on a CSV file or SQL database or, regex search-and-replace, blanking out all values that don’t match a regex, If you have an issue with data cleanliness, arrange them by estimated frequency and attack the most common problems, Analyze the summary statistics for each column ( standard deviation, mean, number of missing values,), Keep track of every date cleaning operation, so you can alter changes or remove operations if required"
104,105,Data Analytics,Mention what is the difference between data mining and data profiling?,"Data profiling: It targets on the instance analysis of individual attributes. It gives information on various attributes like value range, discrete value and their frequency, occurrence of null values, data type, length, etc.
Data mining: It focuses on cluster analysis, detection of unusual records, dependencies, sequence discovery, relation holding between several attributes, etc."
105,106,nlp,What do you understand by Natural Language Processing NLP?,Natural Language Processing is a field of computer science that deals with communication between computer systems and humans. It is a technique used in Artificial Intelligence and Machine Learning. It is used to create automated software that helps understand human spoken languages to extract useful information from the data it gets in the form of audio. Techniques in NLP allow computer systems to process and interpret data in the form of natural languages.
106,107,nlp,List any two real-life applications of Natural Language Processing.,"Google Translate: Google Translate is one of the famous applications of Natural Language Processing. It helps convert written or spoken sentences into any language. Also, we can find the correct pronunciation and meaning of a word by using Google Translate. It uses advanced techniques of Natural Language Processing to achieve success in translating sentences into various languages.Chatbots: To provide a better customer support service, companies have started using chatbots for 24/7 service.                                                                                                                                                                                                                                                   Chatbots helps resolve the basic queries of customers. If a chatbot is not able to resolve any query, then it forwards it to the support team, while still engaging the customer. It helps make customers feel that the customer support team is quickly attending them. With the help of chatbots, companies have become capable of building cordial relations with customers. It is only possible with the help of Natural Language Processing."
107,108,nlp,What are stop words?,"Stop words are said to be useless data for a search engine. Words such as articles, prepositions, etc. are considered as stop words. There are stop words such as was, were, is, am, the, a, an, how, why, and many more. In Natural Language Processing, we eliminate the stop words to understand and analyze the meaning of a sentence. The removal of stop words is one of the most important tasks for search engines. Engineers design the algorithms of search engines in such a way that they ignore the use of stop words. This helps show the relevant search result for a query."
108,109,nlp,What is NLTK?,"NLTK is a Python library, which stands for Natural Language Toolkit. We use NLTK to process data in human spoken languages. NLTK allows us to apply techniques such as parsing, tokenization, lemmatization, stemming, and more to understand natural languages. It helps in categorizing text, parsing linguistic structure, analyzing documents, etc."
109,110,nlp,List the components of Natural Language Processing.,"Entity extraction: Entity extraction refers to the retrieval of information such as place, person, organization, etc. by the segmentation of a sentence. It helps in the recognition of an entity in a text.
Syntactic analysis: Syntactic analysis helps draw the specific meaning of a text.
Pragmatic analysis: To find useful information from a text, we implement pragmatic analysis techniques.
Morphological and lexical analysis: It helps in explaining the structure of words by analyzing them through parsing."
